Model,Technique,Precision,Recall,Predictive Equality,Predictive Parity
Neural Net,No resampling,NA,0,0,0
Neural Net,Random oversampling,0.05,0.57,0.23,0.02
Neural Net,SMOTE,0.06,0.46,0.17,0.02
Neural Net,ADASYN,0.07,0.46,0.16,0.02
Neural Net,Random undersampling,0.04,1,0.45,0.03
Neural Net,Cluster centroids,0.04,0.89,0.35,0.03
Neural Net,SMOTE-EEN,0.07,0.51,0.16,0.02
